"","Mã đơn hàng","Có vali","Thời gian","Kho nguồn","Kho đích","Số lượng SP","Trạng thái","Ghi chú","ID Kho đích","ID phiếu CK","ID Kho nguồn","Nhân viên"
"","CK10112025:0196326","Có vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIA16/MIA HCM - Lũy Bán Bích","23","Đề nghị chuyển kho","vali 12/11","29","1989357","16","Bùi Thị Thùy Dương"
"","CK10112025:0196321","Không vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIA 9/MIA HCM - Trần Quang Diệu","128","Đề nghị chuyển kho","phụ kiện quà tặng","19","1989323","16","Bùi Thị Thùy Dương"
"","CK10112025:0196310","Không vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIA14/MIA HCM - Dân Chủ","117","Đề nghị chuyển kho","quà tặng - phụ kiện","27","1989268","16","Bùi Thị Thùy Dương"
"","CK10112025:0196307","Không vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIA 5/MIA HCM - Cộng Hòa","2","Đề nghị chuyển kho","vali trẻ em","7","1989250","16","Bùi Thị Thùy Dương"
"","CK10112025:0196305","Có vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIA29/MIA HCM - Trường Chinh","87","Đề nghị chuyển kho","hàng giao từ kho, cửa hàng thông tin cho kho nhé","45","1989213","16","Bùi Thị Thùy Dương"
"","CK10112025:0196267","Có vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIAHN/MIA Hà Nội - Tây Sơn","12","Đề nghị chuyển kho","ikhang","18","1988797","16","Bùi Thị Thùy Dương"
"","CK10112025:0196265","Có vali","10/11/2025","KTT/1 - Kho Trung Tâm","MIA35/MIA Hà Nội - Hàng Bông","8","Đề nghị chuyển kho","ikhang","53","1988795","16","Bùi Thị Thùy Dương"
"","CK08112025:0196177","Không vali","08/11/2025","KTT/1 - Kho Trung Tâm","KHM/W - Kho hàng mẫu","76","Đề nghị chuyển kho","khóa hàng b2b đến hết ngày 12/11","17","1986380","16","Bùi Thị Thùy Dương"
"","CK05112025:0196057","Có vali","05/11/2025","KTT/1 - Kho Trung Tâm","KHM/W - Kho hàng mẫu","60","Đề nghị chuyển kho","block hàng đến hết ngày 15/11/25","17","1984295","16","Bùi Thị Thùy Dương"
"","CK03112025:0195963","Không vali","03/11/2025","KTT/1 - Kho Trung Tâm","STU/W - Studio","1","Đề nghị chuyển kho","Hàng team Content quay tại cửa hàng MIA Trần Não nên mượn chuyển về","37","1982853","16","Kho Studio"
